143,"pistol","desert eagle 17cal.",1978,7,13,"ran",11223344
588,"Browning ","50cal. machinegun",1942,March,23,"USA, Texas",66665
367,"will to live","null",2022,March,15,"bedromm",4356454
23,"gatlin gun","37mm 240rpm",1987,9,29,"Ispalon 6",5436546
550,"mouse","metoo black",2024,January,28,"andijan",34256
151,"laptop","acer predator 16",2035,June,24,"info center",2344325
607,"leg","right",1944,June,4,"omaha beach",453123
90,"bag","small black leather",2033,5,13,"metro station",3456456
601,"phone","iphone16",2003,March,12,"library",123456
944,"phone","ourphone 16",2003,March,12,"samare",124536
66,"hamster","white",1992,June,31,"backyard",435
870,"cap","blue with white dots",20034,April,21,"groove street",24532
825,"pencile","red",2313,December,23,"school",523121
70,"plamaster ","yello",2021,February,28,"academy",5342223
611,"mouse","wireless",2024,February,29,"school",342134
836,"laptop charger","330V ",2005,May,4,"library",76453232
826,"friend","shoxrux",2024,October,16,"alayskiy bazar",354671234
